Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
下がる,下[さ]がる,さがる,"come down, hang down, fall",Verb,やっと熱が<b>下がった</b>。,やっと 熱[ねつ]が<b> 下[さ]がった</b>。,やっと ねつ が <b>さがった</b>,His fever finally went down.,やっと 熱[ねつ]が<b>（　）</b>。
下りる,下[お]りる,おりる,"go down, come down",Verb,そこの階段を<b>下りて</b>ください。,そこの 階段[かいだん]を<b> 下[お]りて</b>ください。,そこ の かいだん を <b>おりて</b> ください,Please go down those stairs.,そこの 階段[かいだん]を<b>（　）</b>ください。
下ろす,下[お]ろす,おろす,"bring down, take down, pull down",Verb,棚からその箱を<b>下ろして</b>ください。,棚[たな]からその 箱[はこ]を<b> 下[お]ろして</b>ください。,たな から その はこ を <b>おろして</b> ください,Please take the box down from the shelf.,棚[たな]からその 箱[はこ]を<b>（　）</b>ください。
下り,下[くだ]り,くだり,"downhill, going down",Noun,もうすぐ<b>下り</b>の電車が発車します。,もうすぐ<b> 下[くだ]り</b>の 電車[でんしゃ]が 発車[はっしゃ]します。,もうすぐ <b>くだり</b> の でんしゃ が はっしゃ します,The train out of the city leaves soon.,もうすぐ<b>（　）</b>の 電車[でんしゃ]が 発車[はっしゃ]します。
よく,よく,よく,well,Adverb,<b>よく</b>答えが分かりましたね。,<b>よく</b> 答[こた]えが 分[わ]かりましたね。,<b>よく</b> こたえ が わかりました ね,You did well in coming up with the answer.,<b>（　）</b> 答[こた]えが 分[わ]かりましたね。
年下,年下[としした],としした,"younger, junior",Noun,彼は奥さんより<b>年下</b>です。,彼[かれ]は 奥[おく]さんより<b> 年下[としした]</b>です。,かれ は おくさん より <b>としした</b> です,He's younger than his wife.,彼[かれ]は 奥[おく]さんより<b>（　）</b>です。
下る,下[くだ]る,くだる,"go down, go down or away from a central place",Verb,小さな船が川を<b>下っています</b>。,小[ちい]さな 船[ふね]が 川[かわ]を<b> 下[くだ]っています</b>。,ちいさ な ふね が かわ を <b>くだって います</b>,A small ship is going down the river.,小[ちい]さな 船[ふね]が 川[かわ]を<b>（　）</b>。
一方,一方[いっぽう],いっぽう,one way,Noun,ここは<b>一方</b>通行です。,ここは<b> 一方[いっぽう]</b> 通行[つうこう]です。,ここ は <b>いっぽう</b> つうこう です,This is a one-way street.,ここは<b>（　）</b> 通行[つうこう]です。
方,方[かた],かた,person　（polite form),Noun,次の<b>方</b>、どうぞ。,次[つぎ]の<b> 方[かた]</b>、どうぞ。,つぎ の <b>かた</b> どうぞ,Next please.,次[つぎ]の<b>（　）</b>、どうぞ。
まま,まま,まま,"as is, still (in the current state)",Noun,電気がついた<b>まま</b>ですよ。,電気[でんき]がついた<b>まま</b>ですよ。,でんき が ついた <b>まま</b> です よ,The light is still on.,電気[でんき]がついた<b>（　）</b>ですよ。
二人,二人[ふたり],ふたり,two persons,Noun,今日は妻と<b>二人</b>で食事をします。,今日[きょう]は 妻[つま]と<b> 二人[ふたり]</b>で 食事[しょくじ]をします。,きょう は つま と <b>ふたり</b> で しょくじ を します,"Today I'm having dinner with my wife, just the two of us.",今日[きょう]は 妻[つま]と<b>（　）</b>で 食事[しょくじ]をします。
大人しい,大人[おとな]しい,おとなしい,"gentle, quiet, subdued",Adjective,私の彼女はとても<b>大人しい</b>です。,私[わたし]の 彼女[かのじょ]はとても<b> 大人[おとな]しい</b>です。,わたし の かのじょ は とても <b>おとなしい</b> です,My girlfriend's very quiet.,私[わたし]の 彼女[かのじょ]はとても<b>（　）</b>です。
人々,人々[ひとびと],ひとびと,people,Noun,あの村の<b>人々</b>はとても親切です。,あの 村[むら]の<b> 人々[ひとびと]</b>はとても 親切[しんせつ]です。,あの むら の <b>ひとびと</b> は とても しんせつ です,People in that village are very kind.,あの 村[むら]の<b>（　）</b>はとても 親切[しんせつ]です。
一人で,一人[ひとり]で,ひとりで,by oneself,Adverb,今日は<b>一人で</b>映画を見ます。,今日[きょう]は<b> 一人[ひとり]で</b> 映画[えいが]を 見[み]ます。,きょう は <b>ひとりで</b> えいが を みます,I saw a movie by myself today.,今日[きょう]は<b>（　）</b> 映画[えいが]を 見[み]ます。
テレビ,テレビ,テレビ,television,Noun,私は<b>テレビ</b>をあまり見ません。,私[わたし]は<b>テレビ</b>をあまり 見[み]ません。,わたし は <b>てれび</b> を あまり みません,I don't watch much TV.,私[わたし]は<b>（　）</b>をあまり 見[み]ません。
外人,外人[がいじん],がいじん,"foreigner, alien",Noun,この町には<b>外人</b>が少ない。,この 町[まち]には<b> 外人[がいじん]</b>が 少[すく]ない。,この まち に は <b>がいじん</b> が すくない,There are few foreigners in this town.,この 町[まち]には<b>（　）</b>が 少[すく]ない。
外,外[そと],そと,"outside, open air",Noun,<b>外</b>は暑いよ。,<b> 外[そと]</b>は 暑[あつ]いよ。,<b>そと</b> は あついよ,It's hot outside.,<b>（　）</b>は 暑[あつ]いよ。
休日,休日[きゅうじつ],きゅうじつ,"holiday, day off",Noun,<b>休日</b>は家でよくテレビを見ます。,<b> 休日[きゅうじつ]</b>は 家[いえ]でよくテレビを 見[み]ます。,<b>きゅうじつ</b> は いえ で よく てれび を みます,I often watch television at home on my days off.,<b>（　）</b>は 家[いえ]でよくテレビを 見[み]ます。
休み,休[やす]み,やすみ,"rest, holiday, absence",Noun,木曜日は仕事が<b>休み</b>です。,木曜日[もくようび]は 仕事[しごと]が<b> 休[やす]み</b>です。,もくようび は しごと が <b>やすみ</b> です,Thursday is my day off work.,木曜日[もくようび]は 仕事[しごと]が<b>（　）</b>です。
ソフト,ソフト,ソフト,"software, programme",Noun,この<b>ソフト</b>で日本語を勉強することができます。,この<b>ソフト</b>で 日本語[にほんご]を 勉強[べんきょう]することができます。,この <b>そふと</b> で にほんご を べんきょう する こと が できます,You can study Japanese with this software.,この<b>（　）</b>で 日本語[にほんご]を 勉強[べんきょう]することができます。
力,力[ちから],ちから,"strength, power",Noun,お相撲さんは、みんな<b>力</b>持ちだ。,お 相撲[すもう]さんは、みんな<b> 力[ちから]</b> 持[も]ちだ。,おすもうさん は みんな <b>ちから</b>もち だ,All sumo wrestlers are strong.,お 相撲[すもう]さんは、みんな<b>（　）</b> 持[も]ちだ。
協力,協力[きょうりょく],きょうりょく,"cooperation, collaboration",Verbal Noun,このプロジェクトにはみんなの<b>協力</b>が必要です。,このプロジェクトにはみんなの<b> 協力[きょうりょく]</b>が 必要[ひつよう]です。,この ぷろじぇくと に は みんな の <b>きょうりょく</b> が ひつよう です,This project requires everyone's cooperation.,このプロジェクトにはみんなの<b>（　）</b>が 必要[ひつよう]です。
人口,人口[じんこう],じんこう,population,Noun,その国の<b>人口</b>はどのくらいですか。,その 国[くに]の<b> 人口[じんこう]</b>はどのくらいですか。,その くに の <b>じんこう</b> は どの くらい です か,What's the population of that country?,その 国[くに]の<b>（　）</b>はどのくらいですか。
出口,出口[でぐち],でぐち,"exit, exit ramp",Noun,<b>出口</b>はあそこです。,<b> 出口[でぐち]</b>はあそこです。,<b>でぐち</b> は あそこ です,The exit's over there.,<b>（　）</b>はあそこです。
ただ,ただ,ただ,free,Noun,この温泉は<b>ただ</b>です。,この 温泉[おんせん]は<b>ただ</b>です。,この おんせん は <b>ただ</b> です,This hot spring is free.,この 温泉[おんせん]は<b>（　）</b>です。
入り口,入[い]り 口[ぐち],いりぐち,entrance,Noun,<b>入り口</b>は向こうです。,<b> 入[い]り 口[ぐち]</b>は 向[む]こうです。,<b>いりぐち</b> は むこう です,The entrance is over there.,<b>（　）</b>は 向[む]こうです。
右手,右手[みぎて],みぎて,right hand,Noun,私は<b>右手</b>で字を書きます。,私[わたし]は<b> 右手[みぎて]</b>で 字[じ]を 書[か]きます。,わたし は <b>みぎて</b> で じ を かきます,I write right-handed.,私[わたし]は<b>（　）</b>で 字[じ]を 書[か]きます。
左手,左手[ひだりて],ひだりて,left hand,Noun,彼女は<b>左手</b>で字を書く。,彼女[かのじょ]は<b> 左手[ひだりて]</b>で 字[じ]を 書[か]く。,かのじょ は <b>ひだりて</b> で じ を かく,She writes left-handed.,彼女[かのじょ]は<b>（　）</b>で 字[じ]を 書[か]く。
下手,下手[へた],へた,not good at,Adjectival Noun,私は歌が<b>下手</b>だ。,私[わたし]は 歌[うた]が<b> 下手[へた]</b>だ。,わたし は うた が <b>へた</b> だ,I'm a terrible singer.,私[わたし]は 歌[うた]が<b>（　）</b>だ。
これら,これら,これら,these,Noun,今日は<b>これら</b>の問題について話し合います。,今日[きょう]は<b>これら</b>の 問題[もんだい]について 話[はな]し 合[あ]います。,きょう は <b>これら</b> の もんだい に ついて はなしあいます,We will discuss these issues today.,今日[きょう]は<b>（　）</b>の 問題[もんだい]について 話[はな]し 合[あ]います。
足りる,足[た]りる,たりる,"suffice, serve, be satisfied",Verb,お金が<b>足りなくて</b>買えなかった。,お 金[かね]が<b> 足[た]りなくて</b> 買[か]えなかった。,おかね が <b>たりなくて</b> かえなかった,I couldn't buy it because I didn't have enough money.,お 金[かね]が<b>（　）</b> 買[か]えなかった。
足す,足[た]す,たす,"add, supplement",Verb,母は味噌汁に水を<b>足した</b>。,母[はは]は 味噌汁[みそしる]に 水[みず]を<b> 足[た]した</b>。,はは は みそしる に みず を <b>たした</b>,My mother added water to the miso soup.,母[はは]は 味噌汁[みそしる]に 水[みず]を<b>（　）</b>。
山,山[やま],やま,mountain,Noun,<b>山</b>の空気はきれいだ。,<b> 山[やま]</b>の 空気[くうき]はきれいだ。,<b>やま</b> の くうき は きれい だ,The mountain air is clean.,<b>（　）</b>の 空気[くうき]はきれいだ。
川,川[かわ],かわ,"river, stream",Noun,小さな<b>川</b>を渡りました。,小[ちい]さな<b> 川[かわ]</b>を 渡[わた]りました。,ちいさ な <b>かわ</b> を わたりました,I crossed a stream.,小[ちい]さな<b>（　）</b>を 渡[わた]りました。
いずれ,いずれ,いずれ,"eventually, sometime",Adverb,<b>いずれ</b>またお会いしましょう。,<b>いずれ</b>またお 会[あ]いしましょう。,<b>いずれ</b> また おあい しましょう,Let's meet again sometime.,<b>（　）</b>またお 会[あ]いしましょう。
空く,空[あ]く,あく,become available or vacant,Verb,後ろの席が<b>空いています</b>。,後[うし]ろの 席[せき]が<b> 空[あ]いています</b>。,うしろ の せき が <b>あいて います</b>,The rear seat is empty.,後[うし]ろの 席[せき]が<b>（　）</b>。
空手,空手[からて],からて,"karate, empty hand",Noun,彼は<b>空手</b>を習っています。,彼[かれ]は<b> 空手[からて]</b>を 習[なら]っています。,かれ は <b>からて</b> を ならって います,He's learning karate.,彼[かれ]は<b>（　）</b>を 習[なら]っています。
空,空[そら],そら,"sky, weather",Noun,<b>空</b>が真っ青です。,<b> 空[そら]</b>が 真[ま]っ 青[さお]です。,<b>そら</b> が まっさお です,The sky is bright blue.,<b>（　）</b>が 真[ま]っ 青[さお]です。
海外,海外[かいがい],かいがい,"overseas, abroad",Noun,彼は<b>海外</b>での生活が長いです。,彼[かれ]は<b> 海外[かいがい]</b>での 生活[せいかつ]が 長[なが]いです。,かれ は <b>かいがい</b> で の せいかつ が ながい です,He's lived abroad for a long time.,彼[かれ]は<b>（　）</b>での 生活[せいかつ]が 長[なが]いです。
あまり,あまり,あまり,(not) much,Adverb,このビールは<b>あまり</b>美味しくありません。,このビールは<b>あまり</b> 美味[おい]しくありません。,この びーる は <b>あまり</b> おいしく ありません,This beer isn't very good.,このビールは<b>（　）</b> 美味[おい]しくありません。
海,海[うみ],うみ,"sea, ocean",Noun,<b>海</b>は広くて大きい。,<b> 海[うみ]</b>は 広[ひろ]くて 大[おお]きい。,<b>うみ</b> は ひろく て おおきい,The sea is vast and wide.,<b>（　）</b>は 広[ひろ]くて 大[おお]きい。
毎日,毎日[まいにち],まいにち,every day,Noun,私たちは<b>毎日</b>散歩をします。,私[わたし]たちは<b> 毎日[まいにち]</b> 散歩[さんぽ]をします。,わたしたち は <b>まいにち</b> さんぽ を します,We go for a walk every day.,私[わたし]たちは<b>（　）</b> 散歩[さんぽ]をします。
毎年,毎年[まいとし],まいとし,every year,Noun,私は<b>毎年</b>、海外旅行に行きます。,私[わたし]は<b> 毎年[まいとし]</b>、 海外旅行[かいがい りょこう]に 行[い]きます。,わたし は <b>まいとし</b> かいがい りょこう に いきます,I travel abroad every year.,私[わたし]は<b>（　）</b>、 海外旅行[かいがい りょこう]に 行[い]きます。
毎年,毎年[まいねん],まいねん,every year,Noun,<b>毎年</b>給料が上がる。,<b> 毎年[まいねん]</b> 給料[きゅうりょう]が 上[あ]がる。,<b>まいねん</b> きゅうりょう が あがる,My salary goes up every year.,<b>（　）</b> 給料[きゅうりょう]が 上[あ]がる。
なお,なお,なお,"still, in addition",Adverb,<b>なお</b>、雨の場合は中止です。,<b>なお</b>、 雨[あめ]の 場合[ばあい]は 中止[ちゅうし]です。,<b>なお</b> あめ の ばあい は ちゅうし です,"Moreover, it will be canceled in the event of rain.",<b>（　）</b>、 雨[あめ]の 場合[ばあい]は 中止[ちゅうし]です。
毎週,毎週[まいしゅう],まいしゅう,every week,Noun,私は<b>毎週</b>母に電話をします。,私[わたし]は<b> 毎週[まいしゅう]</b> 母[はは]に 電話[でんわ]をします。,わたし は <b>まいしゅう</b> はは に でんわ を します,I call my mother every week.,私[わたし]は<b>（　）</b> 母[はは]に 電話[でんわ]をします。
毎月,毎月[まいつき],まいつき,every month,Noun,私は<b>毎月</b>貯金をしています。,私[わたし]は<b> 毎月[まいつき]</b> 貯金[ちょきん]をしています。,わたし は <b>まいつき</b> ちょきん を して います,I save money every month.,私[わたし]は<b>（　）</b> 貯金[ちょきん]をしています。
石,石[いし],いし,"stone, small rock",Noun,私は<b>石</b>につまづいた。,私[わたし]は<b> 石[いし]</b>につまづいた。,わたし は <b>いし</b> に つまづいた,I tripped on a stone.,私[わたし]は<b>（　）</b>につまづいた。
田んぼ,田[た]んぼ,たんぼ,rice field,Noun,この辺は<b>田んぼ</b>がたくさんあります。,この 辺[へん]は<b> 田[た]んぼ</b>がたくさんあります。,このへん は <b>たんぼ</b> が たくさん あります,There are a lot of rice fields around here.,この 辺[へん]は<b>（　）</b>がたくさんあります。
ほぼ,ほぼ,ほぼ,"almost, nearly",Adverb,仕事が<b>ほぼ</b>終わりました。,仕事[しごと]が<b>ほぼ</b> 終[お]わりました。,しごと が <b>ほぼ</b> おわりました,My work is almost finished.,仕事[しごと]が<b>（　）</b> 終[お]わりました。
花,花[はな],はな,flower,Noun,きれいな<b>花</b>が咲きました。,きれいな<b> 花[はな]</b>が 咲[さ]きました。,きれい な <b>はな</b> が さきました,Beautiful flowers have bloomed.,きれいな<b>（　）</b>が 咲[さ]きました。
林,林[はやし],はやし,"woods, grove",Noun,私たちは<b>林</b>の中に入っていった。,私[わたし]たちは<b> 林[はやし]</b>の 中[なか]に 入[はい]っていった。,わたしたち は <b>はやし</b> の なか に はいって いった,We entered the woods.,私[わたし]たちは<b>（　）</b>の 中[なか]に 入[はい]っていった。
森,森[もり],もり,"thick woods, forest",Noun,私は<b>森</b>を歩くのが好きです。,私[わたし]は<b> 森[もり]</b>を 歩[ある]くのが 好[す]きです。,わたし は <b>もり</b> を あるく の が すき です,I like to walk in the forest.,私[わたし]は<b>（　）</b>を 歩[ある]くのが 好[す]きです。
子,子[こ],こ,"child, kid",Noun,その<b>子</b>は日本語が分からない。,その<b> 子[こ]</b>は 日本語[にほんご]が 分[わ]からない。,その <b>こ</b> は にほんご が わからない,That kid doesn't understand Japanese.,その<b>（　）</b>は 日本語[にほんご]が 分[わ]からない。
サービス,サービス,サービス,"service, on the house",Verbal Noun,この店は<b>サービス</b>がいい。,この 店[みせ]は<b>サービス</b>がいい。,この みせ は <b>さーびす</b> が いい 。,The service in this store is good.,この 店[みせ]は<b>（　）</b>がいい。
女の子,女[おんな]の 子[こ],おんなのこ,"girl, daughter",Noun,あの<b>女の子</b>を知っていますか。,あの<b> 女[おんな]の 子[こ]</b>を 知[し]っていますか。,あの <b>おんなのこ</b> を しって います か,Do you know that girl?,あの<b>（　）</b>を 知[し]っていますか。
男の子,男[おとこ]の 子[こ],おとこのこ,"boy, baby boy",Noun,<b>男の子</b>たちがサッカーをしている。,<b> 男[おとこ]の 子[こ]</b>たちがサッカーをしている。,<b>おとこのこ</b>たち が さっかー を して いる,The boys are playing soccer.,<b>（　）</b>たちがサッカーをしている。
私たち,私[わたし]たち,わたしたち,we,Noun,<b>私たち</b>は来月結婚します。,<b> 私[わたし]たち</b>は 来月結婚[らいげつ けっこん]します。,<b>わたしたち</b> は らいげつ けっこん します 。,We will get married next month.,<b>（　）</b>は 来月結婚[らいげつ けっこん]します。
達する,達[たっ]する,たっする,"attain, reach",Verb,気温は35度に<b>達した</b>。,気温[きおん]は 35度[さんじゅうごど]に<b> 達[たっ]した</b>。,きおん は さんじゅうごど に <b>たっした</b>,The temperature reached 35 degrees.,気温[きおん]は 35度[さんじゅうごど]に<b>（　）</b>。
グループ,グループ,グループ,group,Noun,店に学生の<b>グループ</b>が来た。,店[みせ]に 学生[がくせい]の<b>グループ</b>が 来[き]た。,みせ に がくせい の <b>ぐるーぷ</b> が きた,A group of students came to the shop.,店[みせ]に 学生[がくせい]の<b>（　）</b>が 来[き]た。
家,家[いえ],いえ,"house, home",Noun,ここが私の<b>家</b>です。,ここが 私[わたし]の<b> 家[いえ]</b>です。,ここ が わたし の <b>いえ</b> です,This is my house.,ここが 私[わたし]の<b>（　）</b>です。
家内,家内[かない],かない,my wife,Noun,<b>家内</b>は九州出身です。,<b> 家内[かない]</b>は 九州出身[きゅうしゅう しゅっしん]です。,<b>かない</b> は きゅうしゅう しゅっしん です,My wife is from Kyushu.,<b>（　）</b>は 九州出身[きゅうしゅう しゅっしん]です。
客,客[きゃく],きゃく,"visitor, customer",Noun,その店は若い<b>客</b>が多いです。,その 店[みせ]は 若[わか]い<b> 客[きゃく]</b>が 多[おお]いです。,その みせ は わかい <b>きゃく</b> が おおい です,That shop has a lot of young customers.,その 店[みせ]は 若[わか]い<b>（　）</b>が 多[おお]いです。
空気,空気[くうき],くうき,"air, atmosphere",Noun,ここは<b>空気</b>がきれいです。,ここは<b> 空気[くうき]</b>がきれいです。,ここ は <b>くうき</b> が きれい です,The air here is clean.,ここは<b>（　）</b>がきれいです。
ホテル,ホテル,ホテル,hotel,Noun,今<b>ホテル</b>に着きました。,今[いま]<b>ホテル</b>に 着[つ]きました。,いま <b>ほてる</b> に つきました,I arrived at the hotel just now.,今[いま]<b>（　）</b>に 着[つ]きました。
気に入る,気[き]に 入[い]る,きにいる,"like, be pleased with",Verb,新しい靴がとても<b>気に入りました</b>。,新[あたら]しい 靴[くつ]がとても<b> 気[き]に 入[い]りました</b>。,あたらしい くつ が とても <b>きにいりました</b>,I really like my new shoes.,新[あたら]しい 靴[くつ]がとても<b>（　）</b>。
人気,人気[にんき],にんき,"popularity, temperament of the people, business conditions",Noun,このバンドはとても<b>人気</b>があるよ。,このバンドはとても<b> 人気[にんき]</b>があるよ。,この ばんど は とても <b>にんき</b> が ある よ,That band is very popular.,このバンドはとても<b>（　）</b>があるよ。
雨,雨[あめ],あめ,rain,Noun,<b>雨</b>が降っています。,<b> 雨[あめ]</b>が 降[ふ]っています。,<b>あめ</b> が ふって います,It's raining.,<b>（　）</b>が 降[ふ]っています。
雪,雪[ゆき],ゆき,"snow, snowfall",Noun,クリスマスに<b>雪</b>が降りました。,クリスマスに<b> 雪[ゆき]</b>が 降[ふ]りました。,くりすます に <b>ゆき</b> が ふりました,It snowed at Christmas.,クリスマスに<b>（　）</b>が 降[ふ]りました。
まとめる,まとめる,まとめる,"gather together, put in order",Verb,彼女は荷物を<b>まとめて</b>出て行った。,彼女[かのじょ]は 荷物[にもつ]を<b>まとめて</b> 出[で]て 行[い]った。,かのじょ は にもつ を <b>まとめて</b> でて いった,She packed her luggage and left.,彼女[かのじょ]は 荷物[にもつ]を<b>（　）</b> 出[で]て 行[い]った。
青い,青[あお]い,あおい,blue,Adjective,ここの海はとても<b>青い</b>。,ここの 海[うみ]はとても<b> 青[あお]い</b>。,ここ の うみ は とても <b>あおい</b>,The sea here is very blue.,ここの 海[うみ]はとても<b>（　）</b>。
青,青[あお],あお,"blue, green, green light",Noun,私の好きな色は<b>青</b>です。,私[わたし]の 好[す]きな 色[いろ]は<b> 青[あお]</b>です。,わたし の すき な いろ は <b>あお</b> です,My favorite color is blue.,私[わたし]の 好[す]きな 色[いろ]は<b>（　）</b>です。
晴れ,晴[は]れ,はれ,"fine weather, clear sky",Noun,明日の天気は<b>晴れ</b>です。,明日[あす]の 天気[てんき]は<b> 晴[は]れ</b>です。,あす の てんき は <b>はれ</b> です,Tomorrow's weather will be sunny.,明日[あす]の 天気[てんき]は<b>（　）</b>です。
明らか,明[あき]らか,あきらか,"clear, obvious",Adjective,<b>明らか</b>に彼が悪い。,<b> 明[あき]らか</b>に 彼[かれ]が 悪[わる]い。,<b>あきらか</b> に かれ が わるい,It's clearly his fault.,<b>（　）</b>に 彼[かれ]が 悪[わる]い。
やはり,やはり,やはり,"as expected, also, still",Adverb,彼は<b>やはり</b>遅刻しました。,彼[かれ]は<b>やはり</b> 遅刻[ちこく]しました。,かれ は <b>やはり</b> ちこく しました,"He was late, as expected.",彼[かれ]は<b>（　）</b> 遅刻[ちこく]しました。
明るい,明[あか]るい,あかるい,"bright, cheerful",Adjective,彼女は<b>明るい</b>性格です。,彼女[かのじょ]は<b> 明[あか]るい</b> 性格[せいかく]です。,かのじょ は <b>あかるい</b> せいかく です,She has a cheerful personality.,彼女[かのじょ]は<b>（　）</b> 性格[せいかく]です。
明日,明日[あした],あした,tomorrow,Noun,<b>明日</b>、会社を休みます。,<b> 明日[あした]</b>、 会社[かいしゃ]を 休[やす]みます。,<b>あした</b> かいしゃ を やすみます,I'm off work tomorrow.,<b>（　）</b>、 会社[かいしゃ]を 休[やす]みます。
暗い,暗[くら]い,くらい,"dark, dreary, shadowy",Adjective,東の空が<b>暗い</b>です。,東[ひがし]の 空[そら]が<b> 暗[くら]い</b>です。,ひがし の そら が <b>くらい</b> です,The eastern sky is dark.,東[ひがし]の 空[そら]が<b>（　）</b>です。
昨年,昨年[さくねん],さくねん,last year,Noun,<b>昨年</b>は地震が多い年でした。,<b> 昨年[さくねん]</b>は 地震[じしん]が 多[おお]い 年[とし]でした。,<b>さくねん</b> は じしん が おおい とし でした,Last year there were a lot of earthquakes.,<b>（　）</b>は 地震[じしん]が 多[おお]い 年[とし]でした。
はっきり,はっきり,はっきり,clearly,Adverb,今日は山が<b>はっきり</b>見える。,今日[きょう]は 山[やま]が<b>はっきり</b> 見[み]える。,きょう は やま が <b>はっきり</b> みえる,You can see the mountains clearly today.,今日[きょう]は 山[やま]が<b>（　）</b> 見[み]える。
一昨年,一昨年[おととし],おととし,the year before last,Noun,<b>一昨年</b>初めて京都へ旅行しました。,<b> 一昨年[おととし]</b> 初[はじ]めて 京都[きょうと]へ 旅行[りょこう]しました。,<b>おととし</b> はじめて きょうと へ りょこう しました,I first traveled to Kyoto the year before last.,<b>（　）</b> 初[はじ]めて 京都[きょうと]へ 旅行[りょこう]しました。
一昨日,一昨日[おととい],おととい,day before yesterday,Noun,<b>一昨日</b>彼から電話がありました。,<b> 一昨日[おととい]</b> 彼[かれ]から 電話[でんわ]がありました。,<b>おととい</b> かれ から でんわ が ありました,There was a phone call from him the day before yesterday.,<b>（　）</b> 彼[かれ]から 電話[でんわ]がありました。
東,東[ひがし],ひがし,"east, eastern",Noun,<b>東</b>の空が暗いです。,<b> 東[ひがし]</b>の 空[そら]が 暗[くら]いです。,<b>ひがし</b> の そら が くらい です,The eastern sky is dark.,<b>（　）</b>の 空[そら]が 暗[くら]いです。
西,西[にし],にし,"west, western",Noun,太陽は<b>西</b>に沈みます。,太陽[たいよう]は<b> 西[にし]</b>に 沈[しず]みます。,たいよう は <b>にし</b> に しずみます,The sun sets in the west.,太陽[たいよう]は<b>（　）</b>に 沈[しず]みます。
つまり,つまり,つまり,"in short, basically",Adverb,<b>つまり</b>、あなたは何も知らないのですね。,<b>つまり</b>、あなたは 何[なに]も 知[し]らないのですね。,<b>つまり</b> あなた は なに も しらない の です ね,"So, basically, you don't know anything.",<b>（　）</b>、あなたは 何[なに]も 知[し]らないのですね。
南,南[みなみ],みなみ,south,Noun,私の家は町の<b>南</b>にあります。,私[わたし]の 家[いえ]は 町[まち]の<b> 南[みなみ]</b>にあります。,わたし の いえ は まち の <b>みなみ</b> に あります,My house is in the south of the town.,私[わたし]の 家[いえ]は 町[まち]の<b>（　）</b>にあります。
北,北[きた],きた,north,Noun,ロシアは日本の<b>北</b>にあります。,ロシアは 日本[にっぽん]の<b> 北[きた]</b>にあります。,ろしあ は にっぽん の <b>きた</b> に あります,Russia is north of Japan.,ロシアは 日本[にっぽん]の<b>（　）</b>にあります。
方向,方向[ほうこう],ほうこう,"direction, course",Noun,あの人たちは皆、同じ<b>方向</b>を見ている。,あの 人[ひと]たちは 皆[みな]、 同[おな]じ<b> 方向[ほうこう]</b>を 見[み]ている。,あの ひとたち は みな おなじ <b>ほうこう</b> を みて いる,Those people are all looking in the same direction.,あの 人[ひと]たちは 皆[みな]、 同[おな]じ<b>（　）</b>を 見[み]ている。
向かう,向[む]かう,むかう,"face, confront, head toward",Verb,今、会社に<b>向かっています</b>。,今[いま]、 会社[かいしゃ]に<b> 向[む]かっています</b>。,いま かいしゃ に <b>むかって います</b>,I'm heading for the office right now.,今[いま]、 会社[かいしゃ]に<b>（　）</b>。
ビル,ビル,ビル,building,Noun,私の会社はあの<b>ビル</b>の8階です。,私[わたし]の 会社[かいしゃ]はあの<b>ビル</b>の 8階[はちかい]です。,わたし の かいしゃ は あの <b>びる</b> の はちかい です,My company's on the eighth floor of that building.,私[わたし]の 会社[かいしゃ]はあの<b>（　）</b>の 8階[はちかい]です。
向こう,向[む]こう,むこう,"the other side, the other party, opponent",Noun,友達は<b>向こう</b>にいます。,友達[ともだち]は<b> 向[む]こう</b>にいます。,ともだち は <b>むこう</b> に います,My friend is over there.,友達[ともだち]は<b>（　）</b>にいます。
向く,向[む]く,むく,"turn, face, look",Verb,こっちを<b>向いて</b>ください。,こっちを<b> 向[む]いて</b>ください。,こっち を <b>むいて</b> ください,Please turn this way.,こっちを<b>（　）</b>ください。
開く,開[あ]く,あく,open,Verb,電車のドアが<b>開きました</b>。,電車[でんしゃ]のドアが<b> 開[あ]きました</b>。,でんしゃ の どあ が <b>あきました</b>,The train door opened.,電車[でんしゃ]のドアが<b>（　）</b>。
聞こえる,聞[き]こえる,きこえる,"hear, be heard",Verb,隣の部屋からテレビの音が<b>聞こえる</b>。,隣[となり]の 部屋[へや]からテレビの 音[おと]が<b> 聞[き]こえる</b>。,となり の へや から てれび の おと が <b>きこえる</b>,I can hear the sound of the television from the next room.,隣[となり]の 部屋[へや]からテレビの 音[おと]が<b>（　）</b>。
もちろん,もちろん,もちろん,"of course, no doubt",Adverb,<b>もちろん</b>一緒に行きます。,<b>もちろん</b> 一緒[いっしょ]に 行[い]きます。,<b>もちろん</b> いっしょ に いきます,Of course I'll go with you.,<b>（　）</b> 一緒[いっしょ]に 行[い]きます。
年間,年間[ねんかん],ねんかん,period of one year,Noun,<b>年間</b>5万人がここを訪れます。,<b> 年間[ねんかん]</b> 5万人[ごまんにん]がここを 訪[おとず]れます。,<b>ねんかん</b> ごまんにん が ここ を おとずれます,"This place gets 50,000 visitors a year.",<b>（　）</b> 5万人[ごまんにん]がここを 訪[おとず]れます。
